pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,2020-08-12,84.7,-1.1094566998563593,6.3623970981893025,Zack Greinke,446334,425844,,ball,,,,,13,,R,R,R,HOU,SF,B,,,0,1,2020,-1.0151809230626914,0.21085324778785472,-1.12,2.65,,,,1,6,Top,,,,,455117,,,1.9822309038262875,-123.43380021730066,-2.745531431869206,-10.772283927992143,24.730794703607593,-29.682907838323256,3.64,1.76,,,,84.22399999999999,1652,5.908690749847901,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.591311186152105,,,,,,,,45,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
FF,2020-08-12,89.1,-0.7539926496664006,6.537681168904816,Zack Greinke,446334,425844,,called_strike,,,,,9,,R,R,R,HOU,SF,S,,,0,0,2020,-0.12606075237137798,1.6385063200097782,0.44,1.8,,,,1,6,Top,,,,,455117,,,3.177672428167676,-129.4178028026387,-8.959080682852413,-2.113034688013802,28.601435948794645,-12.073777586556112,3.53,1.76,,,,88.522,2374,6.16368944533005,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.336312490669954,,,,,,,,45,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2020-08-12,88.3,-1.0951354903011674,6.448974292555651,Zack Greinke,474832,425844,strikeout,foul_tip,,,,,1,Brandon Belt strikes out on a foul tip.  ,R,L,R,HOU,SF,S,2.0,,1,2,2020,0.09911820797119357,1.4222515155991278,-0.42,2.66,,,,0,6,Top,,,,,455117,,,1.4189819604886984,-128.47478011978473,-6.030019670974745,0.7809241201053141,28.245979703859998,-15.392439535034447,3.2,1.55,,,,87.594,2353,5.98914312822624,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.51085880777377,,,0.0,1.0,0.0,0.0,,44,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard
CS,2020-08-12,67.4,-0.6466216568695669,6.5695364293373535,Zack Greinke,474832,425844,,called_strike,,,,,11,,R,L,R,HOU,SF,S,,,1,1,2020,0.9883469326946852,-1.139827897711215,-0.5,3.44,,,,0,6,Top,,,,,455117,,,-1.2860268004018605,-97.88876011662592,4.0987393713767934,6.5097667549311895,18.151205226557735,-40.42014786485576,3.11,1.55,,,,66.423,2259,5.98496808256572,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.515033853434275,,,,,,,,44,3,Curveball,1,1,1,1,1,1,1,1,Infield shift,Standard
FF,2020-08-12,87.6,-0.9972807104912668,6.568298875926581,Zack Greinke,474832,425844,,ball,,,,,11,,R,L,R,HOU,SF,B,,,0,1,2020,-0.08841401582167283,1.5663015852360331,-0.77,3.67,,,,0,6,Top,,,,,455117,,,0.7390749052851787,-127.55574573080492,-4.0599573901069235,-1.1213466798268827,27.567873138789874,-14.484331681940045,3.1,1.55,,,,87.006,2329,5.99071177322594,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.509290162774064,,,,,,,,44,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard
SI,2020-08-12,83.9,-1.2504587081377112,6.3438835610712685,Zack Greinke,474832,425844,,swinging_strike,,,,,7,,R,L,R,HOU,SF,S,,,0,0,2020,-0.8517316495458309,0.07582073843734867,-0.32,2.06,,,,0,6,Top,,,,,455117,,,3.803651832733034,-122.2442150879011,-3.6788732682636853,-9.286500035228332,23.058883409202014,-30.915518195779985,3.2,1.55,,,,83.64399999999999,1547,5.952658623727079,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.54734331227292,,,,,,,,44,1,Sinker,1,1,1,1,1,1,1,1,Infield shift,Strategic
SL,2020-08-12,85.0,-1.0145196217400911,6.394389121439947,Zack Greinke,527038,425844,field_out,hit_into_play,,,,,14,Wilmer Flores lines out to left fielder Kyle Tucker.  ,R,R,R,HOU,SF,X,7.0,line_drive,2,2,2020,0.7128411181701175,0.4638123977400984,0.75,2.02,,623168.0,573262.0,2,5,Top,95.38,82.9,,,455117,,,2.701377117144471,-123.8108773737427,-4.850639939470319,6.797089332071363,24.649976860523218,-26.645902154972934,3.19,1.61,287.0,96.8,15.0,84.684,2475,6.02168471284801,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.47831722315199,0.75,0.738,0.0,1.0,0.0,0.0,4.0,38,5,Slider,0,1,1,0,1,0,1,0,Standard,Standard
FF,2020-08-12,89.2,-0.8914700943851875,6.43224292879385,Zack Greinke,527038,425844,,ball,,,,,14,,R,R,R,HOU,SF,B,,,1,2,2020,0.20412838426918628,1.6592285709932466,1.03,1.51,,623168.0,573262.0,2,5,Top,,,,,455117,,,4.269823840952276,-129.60293307075716,-9.509340561358902,1.3904234804371896,27.53877065118452,-11.6692404845036,3.19,1.61,,,,88.699,2453,6.09884528396752,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.40115665203248,,,,,,,,38,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard
FF,2020-08-12,88.9,-0.875468088991709,6.452840721045947,Zack Greinke,527038,425844,,called_strike,,,,,9,,R,R,R,HOU,SF,S,,,1,1,2020,0.15606942390277145,1.6924795284401195,0.24,2.05,,623168.0,573262.0,2,5,Top,,,,,455117,,,2.3998155065294084,-129.18939055889973,-8.211774972653425,1.2305221808773508,27.67494623410575,-11.712403708851726,3.19,1.61,,,,88.221,2396,6.0020515696014405,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.49795036639856,,,,,,,,38,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard
SI,2020-08-12,86.7,-1.3386167740840187,6.268520737711718,Zack Greinke,527038,425844,,blocked_ball,,,,,13,,R,R,R,HOU,SF,B,,,0,1,2020,-1.1027294140446158,0.4596444738630461,-1.27,0.78,,623168.0,573262.0,2,5,Top,,,,,455117,,,2.3867182409800654,-126.07832943342687,-7.813048000464356,-12.250354120225515,25.485277505698342,-25.89434409863298,3.19,1.61,,,,86.133,1634,5.94986485931965,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.55013707668036,,,,,,,,38,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard
