pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,2020-08-15,84.8,-3.7784691363879417,5.232144312925816,Jose Berrios,670032,621244,,ball,,,,,14,,R,L,R,MIN,KC,B,,,1,2,2020,1.0284326047952048,-0.3303646226743274,1.14,0.48,,,,1,4,Top,,,,,641598,,,9.45329562465783,-123.17003828335208,-4.123323569964217,8.723544852579305,23.26654182244973,-34.93944303298089,3.05,1.37,,,,85.056,2401,6.446530527219629,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.05347140878038,,,,,,,,28,4,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CH,2020-08-15,77.6,-3.7631733695776894,5.023184130158816,Jose Berrios,670032,621244,,foul,,,,,13,,R,L,R,MIN,KC,S,,,1,1,2020,-0.959221879476388,0.21455874667159666,-0.31,1.35,,,,1,4,Top,,,,,641598,,,9.213352635826443,-112.79308100642048,-1.3879664170951531,-9.729748021373995,17.909646538018837,-30.28706022217178,3.05,1.42,3.0,56.5,-45.0,78.575,1542,6.752069970479161,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.74793196552084,,,,,,,,28,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
SI,2020-08-15,94.5,-3.619438829823237,5.380215730130377,Jose Berrios,670032,621244,,called_strike,,,,,2,,R,L,R,MIN,KC,S,,,1,0,2020,-1.4310953270192095,0.7455737117369795,0.23,2.62,,,,1,4,Top,,,,,641598,,,13.225505683850837,-137.121153237811,-3.2016870814284784,-20.828472701383784,27.355052646826483,-22.190172722832255,3.05,1.42,,,,95.031,2106,6.534518239353861,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.96548369664614,,,,,,,,28,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
FF,2020-08-15,93.4,-3.9515839376289934,5.210648384567602,Jose Berrios,670032,621244,,ball,,,,,12,,R,L,R,MIN,KC,B,,,0,0,2020,-0.7941988594161161,1.3225012211648357,2.41,2.93,,,,1,4,Top,,,,,641598,,,18.124717369274983,-134.86318042072514,-3.009966828807873,-13.365237002037006,26.855076473901395,-15.41572266939392,3.05,1.38,,,,93.64299999999999,2248,6.66876429655764,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.83123763944237,,,,,,,,28,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
SI,2020-08-15,93.4,-3.6406709058304303,5.445872266808076,Jose Berrios,596748,621244,field_out,hit_into_play,,,,,1,Maikel Franco pops out to first baseman Miguel Sano.  ,R,R,R,MIN,KC,X,3.0,popup,0,0,2020,-1.2550766804617244,0.9702611581962118,-0.53,3.04,,,,0,4,Top,147.14,144.81,,,641598,,,10.839531011657062,-135.59493609826268,-2.5921820546553667,-17.817073187072687,28.70113412671348,-19.79932851283929,3.35,1.54,145.0,72.4,63.0,93.969,2060,6.6795220225298,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.8204799134702,0.016,0.013000000000000001,0.0,1.0,0.0,0.0,3.0,27,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,84.7,-3.8263504517532105,5.236885705984575,Jose Berrios,656811,621244,strikeout,swinging_strike_blocked,,,,,14,Ryan O'Hearn strikes out swinging.  ,R,L,R,MIN,KC,S,2.0,,1,2,2020,0.9979870031497275,-0.4686693263140365,1.43,0.1,,,,2,3,Top,,,,,641598,,,10.297182643345288,-123.01991666404348,-4.719343225565943,8.134104722403046,24.054412677048315,-36.17778940764969,3.41,1.58,,,,84.861,2418,6.464491137174081,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.03551079882593,,,0.0,1.0,0.0,0.0,,23,4,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CH,2020-08-15,84.1,-3.8878706914233887,5.1019144508041725,Jose Berrios,656811,621244,,swinging_strike,,,,,13,,R,L,R,MIN,KC,S,,,1,1,2020,-1.1268273181806303,-0.04536644638063268,-0.75,1.68,,,,2,3,Top,,,,,641598,,,9.529460551240312,-122.14407854768145,-1.4663789666948996,-13.101721876129998,22.723871747745736,-32.55409558067718,3.41,1.58,,,,84.494,1553,6.5268731117584595,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.97312882424154,,,,,,,,23,3,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,80.5,-3.914053537196592,5.333074735874789,Jose Berrios,656811,621244,,called_strike,,,,,7,,R,L,R,MIN,KC,S,,,1,0,2020,0.7919060583360433,-0.8816856683578277,-0.34,1.82,,,,2,3,Top,,,,,641598,,,6.422292414652383,-117.02672497468274,0.5848179497324317,6.031178882576285,22.52714063829142,-40.607283517694434,3.41,1.59,,,,80.383,2379,6.30667368568621,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.1933282503138,,,,,,,,23,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,82.0,-3.8366266215312512,5.316491564792542,Jose Berrios,656811,621244,,ball,,,,,11,,R,L,R,MIN,KC,B,,,0,0,2020,0.7188044200394341,-0.3712350426248566,-1.03,2.98,,,,2,3,Top,,,,,641598,,,4.971684966410539,-119.41985654862205,1.9286345663019628,6.038455805919019,21.18003687250843,-36.297486592128,3.41,1.53,,,,82.411,2324,6.3422095349193395,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.157792401080656,,,,,,,,23,1,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,83.6,-3.9134753985744295,5.252460282607196,Jose Berrios,641531,621244,strikeout,swinging_strike,,,,,14,Hunter Dozier strikes out swinging.  ,R,R,R,MIN,KC,S,2.0,,1,2,2020,1.173916934267953,-0.28017500190889544,0.53,1.61,,,,1,3,Top,,,,,641598,,,7.924802231748372,-121.5815558129598,-1.41728844149257,10.138150140227074,23.36579451068173,-34.892624442970444,3.55,1.63,,,,83.574,2327,6.259833378038301,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.2401685579617,,,0.0,1.0,0.0,0.0,,22,4,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
