pitcher,outcome,xrelease,zrelease,xplate,zplate,vx0,vy0,vz0,ax,ay,az,spin,velocity
A.J.Minter,nan,1.79,5.46,-0.11,2.94,-5.954255184428271,-137.60683061400235,-4.243536011528619,7.2650138532753505,33.092850518316034,-12.111821596571385,2121.0,94.1
A.J.Minter,nan,1.94,5.46,-0.54,3.87,-7.902120811790521,-137.62146412489213,-2.0843502692340383,10.187730847373567,34.88488481442294,-11.01643239116122,2185.0,93.7
A.J.Minter,nan,1.91,5.67,-0.23,3.78,-6.796460715303308,-136.83073943948386,-2.711966695721768,8.894191736685059,32.37185924345321,-11.638105577272349,2303.0,93.3
A.J.Minter,field_out,1.94,5.51,-1.0,2.39,-8.782831549046612,-137.2761578963964,-5.6897476783853165,8.507242265029099,30.74947280086635,-12.553742826430485,2315.0,94.1
A.J.Minter,nan,1.92,5.61,-2.39,2.13,-12.36267222928603,-136.22839643113002,-6.670576205872908,10.238432573330767,32.00000269352528,-11.360968493491285,2323.0,93.0
A.J.Minter,strikeout,2.02,5.44,-0.4,3.36,-7.903628797266581,-139.90405320989976,-3.4754081200753317,10.639761857717373,33.078561552123034,-10.870469583947036,2437.0,95.6
A.J.Minter,nan,1.88,5.5,-0.83,3.0,-8.565167592590516,-138.99403455389898,-4.258065260047829,10.235693418513149,30.93957001170109,-12.461995911540143,2299.0,95.3
A.J.Minter,nan,1.85,5.54,-1.75,3.71,-10.254473501531287,-138.66187342021678,-2.430393271447829,7.016988494866563,30.333294772086635,-13.152913357647025,2353.0,95.2
A.J.Minter,nan,1.92,5.59,-0.64,1.9,-8.268260329359762,-138.8542107217601,-6.981251874990232,10.883662935026443,30.09700788395995,-14.110631988572447,2258.0,95.3
A.J.Minter,nan,1.8,5.53,-1.43,4.14,-9.8624762276009,-140.31031050237243,-1.2664274042786148,9.693906058727327,29.745545048269747,-13.90758820857923,2387.0,96.4
A.J.Minter,walk,1.84,5.39,-0.15,1.21,-6.685888902392155,-138.31109642147902,-8.702818437375948,9.9653468189382,28.035569325704746,-11.13967967133157,2290.0,95.2
A.J.Minter,nan,1.91,5.45,0.39,2.48,-5.975657779174049,-140.4364211873607,-5.486114757278086,12.66386404079753,28.062733028092307,-12.979396963042102,2279.0,96.7
A.J.Minter,nan,1.92,5.5,-0.95,3.2,-8.96936413904478,-140.86976931934234,-4.145936877300847,9.873324538447859,29.72412481760445,-10.808552960182862,2381.0,96.6
A.J.Minter,nan,1.98,5.46,-0.24,3.04,-7.600692909495659,-139.4598378487786,-3.6807235724227367,11.782968896673141,30.09278184352953,-14.858402988544624,2322.0,95.8
A.J.Minter,nan,1.85,5.49,-0.32,1.17,-7.40778019513748,-139.43223648132704,-8.822814115505114,11.383970218319206,29.68036373573626,-13.025422584418775,2348.0,95.6
A.J.Minter,nan,1.95,5.44,-0.14,2.1,-7.135988912346629,-140.2742036965654,-6.2882893903427,10.919049479445322,30.6627136466355,-13.779807370213744,2314.0,96.5
A.J.Minter,nan,2.12,5.6,1.37,2.77,-3.838282016665192,-140.13733104856036,-4.4301768362442555,11.608373430083757,28.796458845636266,-17.086035715316704,2219.0,96.2
A.J.Minter,nan,2.0,5.36,-1.34,1.18,-9.465651968424163,-134.82802453684087,-7.918354350407253,7.351629692381959,28.711606849557672,-13.688105692710204,2086.0,92.7
A.J.Minter,nan,1.75,5.43,-1.94,1.54,-10.475096715491627,-136.56224683013156,-7.478953278131709,7.489038825199533,28.55190740393297,-13.038679641257744,2162.0,93.9
A.J.Minter,nan,2.16,5.46,-0.39,3.1,-8.463597051114148,-137.03801829208209,-3.630434483600833,12.51794924797245,29.64569904718468,-13.313419138881766,2206.0,94.0
A.J.Minter,nan,1.69,5.42,-1.4,0.58,-9.34755877671064,-136.00259174224684,-9.664602790943484,9.839975880061118,27.9907249766267,-13.889537249775705,2063.0,93.6
A.J.Minter,nan,1.79,5.49,-1.76,0.4,-10.65759533745611,-136.68638834859578,-10.38473388724086,10.805798758016858,28.37430254006796,-13.635989069436945,2129.0,94.0
